alert_id,field_id,observation_id,alert_type,severity,message,is_resolved,resolved_at
79,38,,extreme_weather,low,Alert message 79,1,
80,14,124,water_stress,high,Alert message 80,0,2024-01-06 00:00:00
81,49,76,pest_warning,high,Alert message 81,1,
82,2,146,disease_detected,high,Alert message 82,0,
83,22,,vegetation_stress,critical,Alert message 83,1,
84,47,46,vegetation_stress,medium,Alert message 84,1,
85,40,80,pest_warning,high,Alert message 85,0,
86,28,140,pest_warning,critical,Alert message 86,0,2024-05-09 00:00:00
87,28,50,pest_warning,critical,Alert message 87,1,
88,47,94,disease_detected,low,Alert message 88,0,
89,48,,vegetation_stress,critical,Alert message 89,1,
90,49,,water_stress,medium,Alert message 90,0,2024-11-24 00:00:00
91,4,176,disease_detected,medium,Alert message 91,1,
92,7,172,vegetation_stress,critical,Alert message 92,0,
93,36,68,disease_detected,critical,Alert message 93,0,2024-05-09 00:00:00
94,25,158,vegetation_stress,high,Alert message 94,1,
95,47,,water_stress,medium,Alert message 95,0,
96,44,,vegetation_stress,high,Alert message 96,0,
97,19,,disease_detected,high,Alert message 97,0,
98,35,164,water_stress,low,Alert message 98,1,2024-08-29 00:00:00
99,30,46,extreme_weather,high,Alert message 99,0,2024-11-19 00:00:00
100,28,150,disease_detected,medium,Alert message 100,1,
101,37,,disease_detected,high,Alert message 101,0,
102,47,,pest_warning,medium,Alert message 102,0,2024-11-27 00:00:00
103,37,,extreme_weather,medium,Alert message 103,0,2024-02-23 00:00:00
104,50,184,vegetation_stress,low,Alert message 104,0,
105,34,147,disease_detected,high,Alert message 105,0,
106,17,,vegetation_stress,high,Alert message 106,1,2024-03-19 00:00:00
107,11,194,pest_warning,critical,Alert message 107,1,2024-03-31 00:00:00
108,25,,vegetation_stress,critical,Alert message 108,0,2024-03-08 00:00:00
109,30,,extreme_weather,critical,Alert message 109,1,
110,48,,disease_detected,critical,Alert message 110,0,2024-03-02 00:00:00
111,16,118,water_stress,low,Alert message 111,1,
112,9,39,extreme_weather,low,Alert message 112,0,2024-02-01 00:00:00
113,1,17,vegetation_stress,critical,Alert message 113,0,
114,18,,vegetation_stress,high,Alert message 114,0,2024-05-22 00:00:00
115,44,156,water_stress,medium,Alert message 115,1,2024-04-09 00:00:00
116,18,157,water_stress,medium,Alert message 116,1,2024-01-09 00:00:00
117,6,151,extreme_weather,critical,Alert message 117,0,
118,16,,pest_warning,high,Alert message 118,0,2024-06-11 00:00:00
119,50,48,water_stress,high,Alert message 119,0,2024-03-27 00:00:00
120,35,177,water_stress,critical,Alert message 120,1,2024-10-27 00:00:00
